file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/25/sndLHC.Genie-TGeant4_dig.root, runId: 1752482978, local_event: 16, eventId: 1, earliest veto hit time: 0.78 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/25/sndLHC.Genie-TGeant4_dig.root, runId: 1752482978, local_event: 60, eventId: 1, earliest veto hit time: 0.95 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/26/sndLHC.Genie-TGeant4_dig.root, runId: 1752482969, local_event: 25, eventId: 1, earliest veto hit time: 0.59 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/26/sndLHC.Genie-TGeant4_dig.root, runId: 1752482969, local_event: 54, eventId: 1, earliest veto hit time: 0.99 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/27/sndLHC.Genie-TGeant4_dig.root, runId: 1752482928, local_event: 34, eventId: 1, earliest veto hit time: 0.79 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/28/sndLHC.Genie-TGeant4_dig.root, runId: 1752482994, local_event: 19, eventId: 1, earliest veto hit time: 0.75 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/28/sndLHC.Genie-TGeant4_dig.root, runId: 1752482994, local_event: 25, eventId: 1, earliest veto hit time: 0.63 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/28/sndLHC.Genie-TGeant4_dig.root, runId: 1752482994, local_event: 40, eventId: 1, earliest veto hit time: 0.85 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/29/sndLHC.Genie-TGeant4_dig.root, runId: 1752482909, local_event: 24, eventId: 1, earliest veto hit time: 0.59 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/30/sndLHC.Genie-TGeant4_dig.root, runId: 1752482966, local_event: 12, eventId: 1, earliest veto hit time: 0.90 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/30/sndLHC.Genie-TGeant4_dig.root, runId: 1752482966, local_event: 33, eventId: 1, earliest veto hit time: 0.85 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/30/sndLHC.Genie-TGeant4_dig.root, runId: 1752482966, local_event: 36, eventId: 1, earliest veto hit time: 0.71 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/31/sndLHC.Genie-TGeant4_dig.root, runId: 1752482960, local_event: 0, eventId: 1, earliest veto hit time: 0.39 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/31/sndLHC.Genie-TGeant4_dig.root, runId: 1752482960, local_event: 66, eventId: 1, earliest veto hit time: 0.75 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/32/sndLHC.Genie-TGeant4_dig.root, runId: 1752482925, local_event: 18, eventId: 1, earliest veto hit time: 0.95 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/34/sndLHC.Genie-TGeant4_dig.root, runId: 1752482970, local_event: 28, eventId: 1, earliest veto hit time: 0.83 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/34/sndLHC.Genie-TGeant4_dig.root, runId: 1752482970, local_event: 53, eventId: 1, earliest veto hit time: 0.76 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/35/sndLHC.Genie-TGeant4_dig.root, runId: 1752482836, local_event: 25, eventId: 1, earliest veto hit time: 0.67 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/35/sndLHC.Genie-TGeant4_dig.root, runId: 1752482836, local_event: 59, eventId: 1, earliest veto hit time: 0.80 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/36/sndLHC.Genie-TGeant4_dig.root, runId: 1752482989, local_event: 29, eventId: 1, earliest veto hit time: 0.82 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/37/sndLHC.Genie-TGeant4_dig.root, runId: 1752482971, local_event: 36, eventId: 1, earliest veto hit time: 0.55 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/37/sndLHC.Genie-TGeant4_dig.root, runId: 1752482971, local_event: 37, eventId: 1, earliest veto hit time: 0.88 [ns]
